ID,SH,TRT,TIMEPOINT,DATE,TIME,ID,Temp Insitu,Temp Run,Salinity,pH Ave,TA,DO (MG/L),DO SAT,t(oC) out,P (dbars) out,pH out,fCO2 out (matm),pCO2 out (matm),HCO3 out (mmol/kgSW),CO3 out (mmol/kgSW),CO2 out (mmol/kgSW),B Alk out (mmol/kgSW),OH out (mmol/kgSW),P Alk out (mmol/kgSW),Si Alk out (mmol/kgSW) ,Revelle out,WCa out,WAr out,xCO2 out (dry at 1 atm) (ppm)
H2,H,H2,7,12/9/19,12:35,H2_191209,11.6,25.1,33.78,7.55,2203.89,,,11.60000038,0,7.738597677,840.8056384,843.9884955,2027.173477,70.66835808,35.26497824,34.48563674,0.909403838,0,0,16.98995272,1.696037673,1.07955353,855.2966156
H3,H,H3,7,12/9/19,12:35,H3_191209,10.8,25.1,33.78,7.45,2204.16,,,10.80000019,0,7.634869001,1081.911229,1086.049363,2066.506823,54.97075101,46.56850324,27.07127351,0.660731763,0,0,18.13602626,1.31915315,0.83844372,1099.838702
H4,H,H4,7,12/9/19,12:35,H4_191209,10.2,24.8,33.78,7.36,2203.58,,,10.19999981,0,7.548213634,1331.125327,1336.256427,2091.99789,44.51095702,58.4333614,22.07974657,0.509270009,0,0,18.43189534,1.06810773,0.678169321,1352.548504
H5,H,H5,7,12/9/19,12:35,H5_191209,9.8,25,33.78,7.32,2201.94,,,9.800000191,0,7.507567147,1463.870503,1469.542702,2101.401028,40.07325394,65.11597799,19.98229131,0.445252004,0,0,18.33295078,0.961616201,0.610139577,1486.980383
H6,H,H6,7,12/9/19,12:35,H6_191209,9.8,24.9,33.78,7.31,2203.25,,,9.800000191,0,7.495228575,1508.888116,1514.734749,2105.352144,39.02400545,67.11845425,19.44970101,0.432780128,0,0,18.26994652,0.936437952,0.594164133,1532.708682
1A,S,1,8,12/15/19,11:37,1A_191215,12.1,25,34.14,7.6,2214.96,8.41,97.1,12.10000038,0,7.784839794,752.9462135,755.7781676,2014.174167,80.33650841,31.01470606,39.06334918,1.069509604,0,0,16.17220512,1.92396863,1.226599114,766.2469275
1B,S,1,8,12/15/19,11:38,1B_191215,12.2,24.9,34.14,7.61,2211.88,8.57,98.9,12.19999981,0,7.789332035,743.7292743,746.5229629,2008.734411,81.27053145,30.53763002,39.53279635,1.091483671,0,0,16.07689155,1.946375046,1.241119912,756.9328156
1C,S,1,8,12/15/19,11:39,1C_191215,12.2,24.9,34.14,7.61,2213.04,8.46,97.8,12.19999981,0,7.790327972,742.2646364,745.0528234,2009.381273,81.48334853,30.47749179,39.61469226,1.093989566,0,0,16.06480054,1.951471873,1.24436994,755.4421758
2A,S,2,8,12/15/19,11:40,2A_191215,11.6,24.7,34.14,7.54,2213.37,7.38,84.2,11.60000038,0,7.715487522,892.6607486,896.0399026,2042.970811,68.10763509,37.36305809,33.33323143,0.867103518,0,0,17.18346002,1.6309701,1.038828544,908.0430473
2B,S,2,8,12/15/19,11:41,2B_191215,11.6,24.9,34.14,7.54,2214.33,7.38,84.2,11.60000038,0,7.719857918,883.4271863,886.7713867,2042.287498,68.77346616,36.97657966,33.64239674,0.875873414,0,0,17.13522962,1.646914723,1.048984297,898.6503725
2C,S,2,8,12/15/19,11:42,2C_191215,11.7,25.1,34.14,7.54,2214.18,7.45,85.1,11.69999981,0,7.722379017,878.2423221,881.5626086,2040.618014,69.38973657,36.64165634,33.91180331,0.889862074,0,0,17.0815821,1.661695547,1.058595118,893.4512318
3A,S,3,8,12/15/19,11:43,3A_191215,10.8,25,34.14,7.44,2215.86,6.22,69.7,10.80000019,0,7.628857964,1101.922725,1106.1374,2078.127044,54.98771322,47.3321131,27.12290191,0.655261538,0,0,18.10812864,1.316693378,0.837437784,1120.179007
3B,S,3,8,12/15/19,11:44,3B_191215,10.8,24.9,34.14,7.44,2214.3,6.12,68.6,10.80000019,0,7.622592756,1118.132717,1122.409392,2078.495562,54.20975671,48.02839892,26.76006461,0.645876479,0,0,18.1402243,1.298065031,0.825589861,1136.657561
3C,S,3,8,12/15/19,11:45,3C_191215,10.8,24.9,34.14,7.44,2213.71,6.1,65.8,10.80000019,0,7.622438196,1118.255022,1122.532165,2077.983253,54.17711065,48.0336524,26.75117083,0.64564666,0,0,18.14011744,1.297283314,0.825092677,1136.781892
4A,S,4,8,12/15/19,11:46,4A_191215,10.4,25,34.14,7.38,2214.72,5.5,61.2,10.39999962,0,7.567367474,1276.590073,1281.4982,2095.945237,47.38039972,55.55699711,23.49191316,0.546152611,0,0,18.36649613,1.134523025,0.721067502,1297.332395
4B,S,4,8,12/15/19,11:48,4B_191215,10.4,25,34.14,7.37,2213.43,5.36,59.5,10.39999962,0,7.560336122,1297.782365,1302.77197,2096.519879,46.63225553,56.47928227,23.13615847,0.537381439,0,0,18.36848003,1.116608722,0.709681729,1318.869024
4C,S,4,8,12/15/19,11:49,4C_191215,10.5,25.1,34.14,7.37,2214.58,5.44,60.6,10.5,0,7.561225923,1296.37343,1301.35116,2096.968334,46.92367378,56.23324322,23.24490538,0.543977694,0,0,18.35978306,1.123587774,0.714241907,1317.539714
5A,S,5,8,12/15/19,11:50,5A_191215,9.9,24.7,34.14,7.33,2214.28,4.83,53,9.899999619,0,7.519114835,1430.332045,1435.867088,2109.333164,41.82910866,63.28229567,20.8584241,0.46446966,0,0,18.33951013,1.001608728,0.636045579,1453.017828
5B,S,5,8,12/15/19,11:51,5B_191215,10.1,24.7,34.14,7.33,2212.48,4.77,52.6,10.10000038,0,7.517833948,1435.222329,1440.761881,2107.134607,41.99538663,63.08033167,20.91633376,0.472639832,0,0,18.32314383,1.005582567,0.638786369,1458.206076
5C,S,5,8,12/15/19,11:52,5C_191215,10.1,24.9,34.14,7.33,2214.62,4.75,52.4,10.10000038,0,7.512901241,1453.815848,1459.427166,2110.327164,41.58401188,63.89754678,20.69216349,0.46730197,0,0,18.30813832,0.995732169,0.632529001,1477.097353
6A,S,6,8,12/15/19,11:53,6A_191215,10,25.2,34.14,7.3,2214.43,4.63,50.8,10,0,7.492170782,1527.226075,1533.128399,2115.145284,39.57843076,67.34605751,19.71955052,0.441003731,0,0,18.2144209,0.947711526,0.601921671,1551.565526
6B,S,6,8,12/15/19,11:54,6B_191215,9.9,24.9,34.14,7.3,2213.16,4.59,50.4,9.899999619,0,7.488134075,1540.331539,1546.292254,2115.15287,39.05659974,68.14901214,19.49132686,0.432490519,0,0,18.19144085,0.935220291,0.593887328,1564.76197
6C,S,6,8,12/15/19,11:54,6C_191215,9.9,24.9,34.14,7.31,2214.3,4.86,53.4,9.899999619,0,7.493199751,1522.471836,1528.363438,2115.156451,39.51489588,67.35884387,19.70889406,0.437564688,0,0,18.22191616,0.946194309,0.600856094,1546.619003
H1,H,H1,8,12/15/19,11:37,H1_191215,12.2,24.8,34.14,7.62,2219.84,,,12.19999981,0,7.80253486,722.0598814,724.7721728,2010.405592,83.84884573,29.64788166,40.63081453,1.125174983,0,0,15.90184871,2.008123954,1.280494543,734.8787226
H2,H,H2,8,12/15/19,11:37,H2_191215,11.6,25.1,34.14,7.55,2215.53,,,11.60000038,0,7.73555437,850.1049931,853.3230528,2037.582197,71.14028871,35.58185155,34.77438494,0.908108615,0,0,16.95120983,1.703592903,1.085084843,864.7539724
H3,H,H3,8,12/15/19,11:37,H3_191215,10.8,24.9,34.14,7.44,2214.34,,,10.80000019,0,7.621572504,1120.946002,1125.233438,2078.835795,54.09140851,48.14924109,26.70140744,0.644360955,0,0,18.14566464,1.295231156,0.823787472,1139.517456
H4,H,H4,8,12/15/19,11:37,H4_191215,10.4,24.9,34.14,7.36,2214.65,,,10.39999962,0,7.548522419,1336.207907,1341.345248,2100.66815,45.47065238,58.15155576,22.54981298,0.522960587,0,0,18.36790992,1.088794151,0.692003654,1357.918913
H5,H,H5,8,12/15/19,11:37,H5_191215,10.1,24.9,34.14,7.34,2214.9,,,10.10000038,0,7.522326962,1421.313668,1426.799537,2108.41474,42.4578855,62.46902366,21.12251871,0.47755493,0,0,18.34076273,1.016657136,0.645821379,1444.074681
H6,H,H6,8,12/15/19,11:37,H6_291215,9.9,24.7,34.14,7.32,2214.9,,,9.899999619,0,7.506433722,1475.136287,1480.844712,2112.804662,40.6922462,65.26457337,20.28820668,0.451103543,0,0,18.28930694,0.974386265,0.618758662,1498.532688
