SDN,pH_1,pH_2,pH_3,pH_4,pH_5,pH_6,pH_7,pH_8,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,DeSpike_1,DeSpike_2,DeSpike_3,DeSpike_4,DeSpike_5,DeSpike_6,DeSpike_7,DeSpike_8
737682,8.023645,7.903398,7.877135,7.723404,7.675087,7.767035,7.474272,8.341751,11.148983,11.016033,10.804859,10.549091,10.424313,10.562038,10.040943,11.989944,0,0,0,0,0,0,0,0
737682.010416667,8.014206,7.901452,7.873754,7.71876,7.660195,7.750916,7.486676,8.339745,11.134911,10.990215,10.793385,10.528568,10.409634,10.546047,10.032658,11.981098,0,0,0,0,0,0,0,0
737682.020833333,8.01646099619127,7.89671533333445,7.86802532797339,7.71041333257673,7.65340934471706,7.7495666644192,7.44996200845565,8.3363373333378,11.1378160024643,10.9839796663001,10.7960093314401,10.5306813335121,10.41161966514,10.5457906631452,10.0358266693612,11.9770506691097,0,0,0,0,0,0,0,0
737682.03125,8.0160075,7.9063015,7.8804305,7.72127,7.6657345,7.76047,7.476091,8.337867,11.1102425,10.969067,10.755932,10.493275,10.376076,10.5125965,9.983494,11.951662,0,0,0,0,0,0,0,0
737682.041666667,8.015743,7.884941,7.875693,7.718487,7.665197,7.746214,7.441702,8.330261,11.592644,11.358223,11.310909,11.08736,10.968456,11.089645,10.608471,12.305824,0,0,0,0,0,0,0,0
737682.052083333,8.011896,7.882936,7.86967,7.717349,7.66972,7.739779,7.459049,8.316208,11.872578,11.675156,11.604706,11.364922,11.246853,11.376141,10.923733,12.583866,0,0,0,0,0,0,0,0
737682.0625,8.011398,7.881698,7.863887,7.710929,7.662681,7.726017,7.480953,8.30571,11.998707,11.808525,11.679344,11.45163,11.33239,11.463852,10.954975,12.735683,0,0,0,0,0,0,0,0
737682.072916667,8.003794,7.884224,7.869904,7.721016,7.667424,7.735428,7.45414,8.291527,12.033226,11.855007,11.712433,11.456013,11.329456,11.462902,10.989254,12.819061,0,0,0,0,0,0,0,0
737682.083333333,8.015682,7.902293,7.859482,7.711451,7.664615,7.727262,7.456175,8.285589,12.108665,11.913277,11.751801,11.488964,11.361702,11.491055,11.003452,12.897591,0,0,0,0,0,0,0,0
737682.09375,8.00164333106128,7.88074000076108,7.85755000150204,7.70723666741321,7.66591266817764,7.72720800150204,7.47472166129779,8.28091033332104,12.0625396670411,11.9312653326773,11.665581,11.420124,11.3081370014752,11.4421780035975,10.854122,12.878098,0,0,0,0,0,0,0,0
