SDN,pH_1,pH_2,pH_3,pH_4,pH_5,pH_6,pH_7,pH_8,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,DeSpike_1,DeSpike_2,DeSpike_3,DeSpike_4,DeSpike_5,DeSpike_6,DeSpike_7,DeSpike_8
737964.471215278,7.981018,7.907242,7.812227,7.703461,7.670238,7.598289,7.37677,8.152884,14.397099,13.644451,12.692062,12.803062,12.394165,12.218513,11.306301,15.485302,1,0,0,0,1,0,1,0
737964.481631944,7.99419566215831,7.89925699847449,7.80812499775029,7.69427166283892,7.65525033782493,7.60683067193498,7.41218833790874,8.14833066139053,14.6224620042882,14.130656001616,13.010872329215,12.9721743417275,12.5927223362022,12.597286,10.9173550011768,15.3407313315083,0,0,0,0,0,0,0,1
737964.492048611,7.986903,7.902564,7.806309,7.69345,7.655573,7.601,7.398465,8.148722,14.25882,13.816734,12.640209,12.568184,12.218052,12.213032,10.549541,15.043339,0,0,0,0,0,0,0,1
737964.502465278,7.988211,7.902836,7.811191,7.700644,7.657279,7.60716,7.40017,8.228281,13.924114,13.529278,12.446529,12.320992,11.980946,11.998508,10.341877,14.641907,0,0,0,0,0,0,1,1
737964.512881944,8.00168266667561,7.90250733562103,7.7930263348499,7.70501933332775,7.67337066443261,7.60219866139166,7.41610799312014,8.23631966589777,13.5745026669137,13.2181156650629,12.2023656660788,12.0950406678725,11.8445433276683,11.8119049979414,10.2217699987293,14.3169873359462,1,0,0,0,0,0,1,1
737964.523298611,7.99779,7.918879,7.805186,7.695886,7.657047,7.600795,7.410036,8.253084,13.367878,13.016861,12.104412,11.983326,11.728691,11.699692,10.171131,14.112972,0,1,0,0,0,0,1,0
737964.533715278,8.00055900845902,7.90769400000503,7.81555050339216,7.70224948969277,7.65960500165459,7.5958825051423,7.40826553269195,8.26030751022676,13.2642175047199,12.8900469994719,12.0587750032136,11.9380644908092,11.6835920088362,11.6563494880482,10.2064934971208,14.0190180018708,0,0,0,0,0,0,0,0
737964.544131944,7.988976,7.912692,7.818974,7.701591,7.65118,7.61843,7.409221,8.274775,13.207462,12.82943,12.050835,11.931057,11.684208,11.678684,10.247898,13.97242,0,0,0,0,0,0,1,0
737964.554548611,8.00563599150075,7.89648098626038,7.78805550682706,7.70851298962991,7.6556014948929,7.59728349493817,7.40229300689999,8.27888700683964,13.1711580072118,12.7687514965173,11.9853554991576,11.9170495035883,11.6747585052379,11.6422689907916,10.3010064879125,13.9634649971133,1,0,0,0,0,0,1,0
737964.564965278,8.003441,7.897943,7.796883,7.703781,7.646638,7.594288,7.398821,8.278238,13.130688,12.74012,11.983009,11.899883,11.644459,11.629547,10.33234,13.957199,1,0,0,0,0,0,1,0
737964.575381944,7.9984914949432,7.90410600343994,7.79427299319557,7.70246848271735,7.67245099493062,7.60004749827249,7.41080699829009,8.27660550513224,13.106152,12.736649,11.9587174974678,11.8854465050568,11.6739519977067,11.6244945087784,10.3210719952424,13.9439179970932,0,0,0,0,0,0,0,0
737964.585798611,7.995399,7.893193,7.811166,7.688666,7.643285,7.592977,7.399487,8.276257,13.120872,12.729374,11.977699,11.903614,11.640957,11.618313,10.342365,13.945984,0,0,0,0,0,0,1,0
737964.596215278,7.995348,7.912203,7.817847,7.711993,7.66609,7.626649,7.416632,8.271561,13.133785,12.768169,11.997272,11.905544,11.665165,11.647079,10.314907,13.934608,0,0,0,0,0,1,0,0
737964.606631944,8.00038801185369,7.89449048970283,7.81408900851937,7.7117269741502,7.65900650836598,7.59605250849674,7.39647549142783,8.26211999998491,13.1366694991174,12.7507039962483,12.003469504056,11.886315996902,11.6667635246705,11.6079830001157,10.3027914857248,13.9222735030804,1,0,0,0,0,0,1,0
737964.617048611,7.9956723212947,7.89604334555525,7.80967500001341,7.69259500159591,7.65467733338474,7.61444867118171,7.40392333640222,8.25606566664878,13.1638463279265,12.7636620002481,12.0053113301259,11.8948999849931,11.6551706547733,11.6587383367777,10.2795879960773,13.9111050036143,0,0,0,0,0,0,1,0
737964.627465278,7.99860449997234,7.89783100000503,7.78842399837559,7.69895949656761,7.65868600339467,7.60366600000503,7.40098199999497,8.2601709999648,13.1617945067818,12.774156498705,11.978597980844,11.9047089962784,11.6630839985315,11.6519089985214,10.2666015031658,13.9039705071087,0,0,0,0,0,0,1,0
737964.637881944,8.00104199469929,7.9068123363754,7.81901633560762,7.69179999693223,7.64499033036055,7.61170099774024,7.40392132951231,8.26008600002012,13.1689273388766,12.8126816685934,12.0381010049118,11.922794330545,11.6618449907866,11.671699665643,10.2807376669304,13.9222513290832,0,0,0,0,0,0,1,0
737964.648298611,8.003893,7.909281,7.811543,7.707738,7.642486,7.596862,7.42282,8.254581,13.186195,12.824223,12.044075,11.938042,11.66967,11.666058,10.296398,13.938255,1,0,0,0,0,0,0,0
737964.658715278,8.00398200377522,7.90781800001341,7.80423266818994,7.71214533178659,7.66540832580525,7.60216432427639,7.40401932034024,8.25980967349067,13.2201589961711,12.8532623297045,12.0626803315385,11.977620336628,11.71711,11.694504,10.359035,13.980835,1,0,0,0,0,0,1,0
737964.669131944,8.00101897629262,7.90331850515739,7.80157000506435,7.70671201377483,7.65831749320814,7.60710199495074,7.40895900348017,8.26304699325089,13.2317355025121,12.870671999819,12.0777050125276,12.0188730057081,11.745289,11.732574,10.408169,14.016582,0,0,0,0,0,0,0,0
737964.679548611,7.99995600502914,7.89992299828506,7.815743005004,7.70879849291645,7.6486025083861,7.60031900169985,7.40762851375722,8.25734649830769,13.2457965131789,12.8642329989338,12.0964300078555,12.0159910235012,11.7343235188668,11.738610998627,10.3792074990017,13.9999545022254,0,0,0,0,0,0,1,0
737964.689965278,7.98939500905915,7.90107099618792,7.80473167193944,7.70958432948213,7.64476233786067,7.6010470060249,7.41013466361454,8.25020400000671,13.2780649919936,12.8958563318157,12.1058350059478,12.0407066740215,11.7653936637419,11.7556863367576,10.380367,14.0029399997016,1,0,1,0,0,0,0,0
737964.700381944,7.98939466291604,7.89804066514898,7.799373329614,7.71304767360802,7.68036599625161,7.61201998947566,7.41034632873222,8.24803133332886,13.5784616648975,13.0383589976765,12.5388996535786,12.169731322885,11.8587726636738,11.7932309889929,10.391534343062,14.0333090008483,1,1,1,1,1,1,1,0
737964.710798611,7.81340996105934,7.8084540034852,7.65207099831021,7.60891000169985,7.56036950009807,7.53172749659778,7.41626800001509,8.2489680051599,12.5685249758752,12.7186069844298,12.1252119905704,11.8970870032991,11.8518484757872,11.645471495597,10.5253145000578,14.0492289967009,1,1,1,1,1,1,0,0
737964.721215278,7.796756,7.697686,7.655498,7.59875,7.554583,7.500787,7.403095,8.249254,12.604984,12.230747,12.198429,11.95013,11.94183,11.607418,10.643299,14.062428,1,1,1,1,1,0,1,0
737964.731631944,7.81117748475415,7.6904859810703,7.65641600510458,7.61511151387792,7.55347250849171,7.51040650169231,7.42352195877611,8.24954400168979,12.629948,12.235481,12.2213900010561,11.9758279813821,11.9643594938619,11.6598245014761,10.6790845020142,14.0722750040183,0,1,0,0,0,0,0,0
737964.742048611,7.803933,7.71462,7.657408,7.618402,7.551699,7.49786,7.406382,8.251165,12.67691,12.297626,12.227177,12.010639,11.984596,11.675251,10.716526,14.087952,0,0,0,0,0,1,1,0
