SDN,Sat_1,Sat_2,Sat_3,Sat_4,Sat_5,Sat_6,Sat_7,Sat_8,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,uM_1,uM_2,uM_3,uM_4,uM_5,uM_6,uM_7,uM_8,mgL_1,mgL_2,mgL_3,mgL_4,mgL_5,mgL_6,mgL_7,mgL_8,DeSpike_1,DeSpike_2,DeSpike_3,DeSpike_4,DeSpike_5,DeSpike_6,DeSpike_7,DeSpike_8
737962.5646,94.2,92.2,NaN,78.9,71,59.9,59.2,20.2,17,13.1,NaN,11.5,12.8,10.6,11.3,9.1,225.387702,238.2977993,NaN,210.8180317,184.6389412,163.1432529,158.8501294,56.8405276,7.043805924,7.447271682,NaN,6.588475271,5.770327557,5.098545311,4.964376818,1.776377511,0,0,1,0,0,0,0,0
737962.575,94.2,92.4,NaN,76.8,70.2,59.7,58.4,20.4,17,13.1,NaN,11.6,13.2,10.6,11.3,8.9,225.387702,238.8147142,NaN,204.7750024,181.0662484,162.5985341,156.7035061,57.65747481,7.043805924,7.463426284,NaN,6.399618801,5.65867393,5.081521787,4.897290645,1.801908707,0,0,1,0,0,0,0,0
737962.5854,93.9,92.3,NaN,75.4,68.5,59.8,57.5,20.7,17,13.1,NaN,11.3,12.6,10.6,11.1,9.1,224.6699067,238.5562568,NaN,202.3192527,178.8741293,162.8708935,154.9442959,58.24747135,7.021373422,7.455348983,NaN,6.322871826,5.590165926,5.090033549,4.842311893,1.820347251,0,0,1,0,1,0,0,0
737962.5958,94.5,92.1,NaN,74,72.5,59.7,58,20.4,17.1,13.2,NaN,11.3,12.7,10.6,11.3,9.2,225.6741452,237.5527276,NaN,198.5626618,188.9287925,162.5985341,155.6301944,57.27699557,7.052757834,7.423986738,NaN,6.205471023,5.904393791,5.081521787,4.863747559,1.790017988,0,0,1,0,0,0,0,0
737962.6063,94.1,91.9,NaN,71.4,75.4,59.1,56.8,20.7,17.2,13.2,NaN,11.5,13,10.7,11.3,9,224.2909457,237.0368694,NaN,190.7782949,195.2768616,160.619932,152.4102593,58.37616191,7.009530149,7.407865159,NaN,5.962194352,6.102783349,5.019686607,4.763118299,1.824369083,0,0,1,0,0,0,0,0
737962.6167,93.9,92.3,NaN,79.6,82.5,59.3,56.7,20.8,17.2,13.1,NaN,11.8,13.4,10.7,11.4,9.1,223.8142381,238.5562568,NaN,211.3507311,211.9247681,161.1634851,151.8205373,58.5288601,6.994632104,7.455348983,NaN,6.605123167,6.623062945,5.036673702,4.744688333,1.829141199,0,0,1,0,1,0,0,0
737962.6271,93.7,91.8,NaN,93.6,71.9,59.4,56.9,20.7,17.3,13.2,NaN,12,12.5,10.7,11.3,9,222.9129312,236.7789402,NaN,247.4845997,188.1413707,161.4352616,152.6785872,58.37616191,6.966464504,7.39980437,NaN,7.734377138,5.879785322,5.045167249,4.77150407,1.824369083,0,0,1,0,0,0,0,0
737962.6375,94.1,91.8,NaN,79.2,73.2,58.8,56.8,20.6,17.3,13.2,NaN,11.5,12,10.7,11.2,9.2,223.8645339,236.7789402,NaN,211.6196212,193.5456484,159.8046024,152.7334968,57.83853474,6.996203947,7.39980437,NaN,6.613526508,6.048679556,4.994205964,4.773220101,1.807567184,0,0,1,0,0,0,0,0
737962.6479,94.2,92,NaN,75.2,69,58.6,56.7,20.5,17.3,13.2,NaN,11.4,12.7,10.7,11.3,9.1,224.1024346,237.2947985,NaN,201.3563387,179.8080922,159.2610494,152.1419314,57.68469385,7.003638808,7.415925949,NaN,6.292778882,5.61935409,4.977218869,4.754732527,1.802759355,0,0,1,0,0,0,0,0
737962.6583,93.8,91.9,NaN,74.5,69.9,58.7,56.7,21,17.4,13.2,NaN,11.3,12.4,10.7,11.6,9.2,222.7273198,237.0368694,NaN,199.9043014,183.2874289,159.5328259,151.1815447,58.96161308,6.960663785,7.407865159,NaN,6.247399881,5.728090159,4.985712417,4.724718568,1.842665575,0,0,1,0,1,1,1,1
