TIMESTEP,VTYPE,VID,SAMPLE,RUN,CS,TIME1,DO1,TEMP1,TIME2,DO2,TEMP2,TIME3,DO3,TEMP3,TIME4,DO4,TEMP4,TIME5,DO5,TEMP5,TIME6,DO6,TEMP6,TIME7,DO7,TEMP7,BW (g),WW (g),Diam,Height,GF,SOMF,GF_G,SOMF_SOM,GF_AFG,SOMF_AFSOM,Color,GrazingCorr_gWWperday,TRT,STYPE
3,S,4,CON30_2,30,C,14:47,7.06,12.7,14:51,6.99,12.7,14:57,6.94,12.7,15:02,6.93,12.7,15:10,6.91,12.7,15:15,6.89,12.7,15:19,6.88,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,C
3,S,10,CON30_3,30,C,14:48,7.12,12.7,14:54,7.03,12.7,14:59,6.97,12.7,15:05,6.96,12.7,15:12,6.94,12.7,15:16,6.93,12.7,15:21,6.93,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,C
3,S,2,CON31_1,31,C,10:02,4.42,10.6,10:13,4.38,10.9,10:21,4.4,10.9,10:28,4.4,10.9,10:34,4.4,10.9,10:40,4.42,10.9,10:45,4.41,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,C
3,S,2,CON32_1,32,C,11:31,5.06,11.2,11:35,5.06,11.2,11:39,5.06,11.2,11:43,5.06,11.2,11:47,5.05,11.2,11:50,5.05,11.2,11:54,5.06,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,C
3,S,4,CON32_2,32,C,11:32,5.17,11.2,11:36,5.17,11.2,11:40,5.15,11.2,11:43,5.15,11.2,11:47,5.15,11.2,11:51,5.15,11.2,11:54,5.16,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,C
3,L,18,CON32_3,32,C,11:35,5.77,11.2,11:39,5.72,11.2,11:42,5.67,11.2,11:46,5.65,11.2,11:50,5.64,11.2,11:53,5.63,11.2,11:57,5.62,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,C
3,S,2,CON33_1,33,C,12:18,4.8,11.2,12:23,4.78,11.2,12:28,4.79,11.3,12:32,4.8,11.3,12:37,4.79,11.3,12:42,4.79,11.3,12:45,4.79,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,C
3,S,4,CON33_2,33,C,12:19,4.85,11.2,12:23,4.83,11.3,12:29,4.85,11.3,12:33,4.84,11.3,12:38,4.85,11.3,12:42,4.84,11.3,12:36,4.84,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,C
3,S,9,CON33_3,33,C,12:21,5.41,11.2,12:25,5.37,11.3,12:30,5.34,11.3,12:34,5.32,11.3,12:36,5.31,11.3,12:39,5.31,11.3,12:44,5.31,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,C
3,S,2,CON34_1,34,C,13:06,6.56,12.1,13:10,6.54,12.2,13:13,6.52,12.3,13:16,6.52,12.3,13:21,6.54,12.3,13:25,6.55,12.3,13:29,6.55,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,C
3,S,4,CON34_2,34,C,13:07,6.66,12.2,13:10,6.61,12.2,13:13,6.61,12.3,13:17,6.61,12.3,13:22,6.61,12.3,13:26,6.63,12.3,13:30,6.61,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,C
3,L,19,CON34_3,34,C,13:09,7.21,12.2,13:12,7.17,12.3,13:16,7.13,12.3,13:20,7.12,12.3,13:25,7.09,12.3,13:29,7.09,12.3,13:32,7.08,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,C
3,S,2,CON35_1,35,C,13:47,6.71,12.3,13:51,6.7,12.3,13:54,6.71,12.3,13:59,6.68,12.3,14:03,6.67,12.3,14:07,6.71,12.3,14:11,6.68,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,C
3,S,4,CON35_2,35,C,13:48,6.77,12.3,13:51,6.76,12.3,13:55,6.77,12.3,14:00,6.76,12.3,14:03,6.77,12.3,14:07,6.77,12.3,14:11,6.76,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,C
3,L,19,CON35_3,35,C,13:51,7.57,12.3,13:54,7.54,12.3,13:59,7.47,12.3,14:02,7.46,12.3,14:06,7.43,12.3,14:10,7.41,12.3,14:14,7.41,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,C
4,S,1,1ASF01,39,S,13:56,7.43,12.4,14:01,7.05,12.4,14:05,6.7,12.5,14:09,6.47,12.5,14:14,6.22,12.5,14:18,6.01,12.5,14:23,5.76,12.5,1.5902,10.1997,29,14,1.717,1.6229,1.7584,4.5295,1.7273,4.119,NA,0.108953311,1,S
4,S,2,1ASF02,39,S,13:56,7.53,12.4,14:01,7.34,12.4,14:06,7.09,12.5,14:10,6.89,12.5,14:14,6.7,12.5,14:19,6.52,12.5,14:23,6.34,12.5,1.2007,7.3412,25,13,1.4953,1.4939,1.5006,3.6933,1.4954,3.386,NA,-0.699019597,1,S
4,S,3,1ASF03,39,S,13:56,7.51,12.4,14:01,7.21,12.4,14:06,7.01,12.5,14:10,6.85,12.5,14:14,6.69,12.5,14:19,6.54,12.5,14:23,6.39,12.5,1.6029,9.9892,27,14,1.8792,1.6613,1.8891,4.5875,1.8802,4.2004,NA,0.516810728,1,S
4,S,5,1ASF04,39,S,13:57,7.43,12.4,14:02,7.2,12.4,14:06,7.01,12.5,14:10,6.81,12.5,14:15,6.63,12.5,14:19,6.47,12.5,14:24,6.32,12.5,1.3988,8.3329,26,15,1.4019,1.5521,1.4294,4.151,1.4047,3.7754,NA,0.509042748,1,S
4,S,6,1ASF05,39,S,13:57,7.64,12.4,14:02,7.46,12.4,14:07,7.34,12.5,14:11,7.25,12.5,14:15,7.16,12.5,14:20,7.11,12.5,14:24,7.04,12.5,0.5143,2.9167,18,9,1.4961,1.422,1.4961,2.4058,1.4961,2.2467,NA,0.211161437,1,S
4,S,7,1ASF06,39,S,13:57,7.44,12.4,14:02,7.11,12.4,14:07,6.86,12.5,14:11,6.58,12.5,14:15,6.45,12.5,14:20,6.15,12.5,14:24,5.9,12.5,1.6002,8.8978,27,12,1.2689,1.3098,1.2788,4.2452,1.2704,3.8234,NA,0.7502884,1,S
4,L,17,1ASF07,39,S,13:59,7.66,12.4,14:05,7.4,12.5,14:09,7.23,12.5,14:13,7.1,12.5,14:17,7,12.5,14:22,6.88,12.5,14:26,6.78,12.5,3.6436,18.6259,35,21,1.2774,1.2481,1.3276,7.6971,1.2911,7.0505,NA,0.229777839,1,S
4,S,9,1ASF08,39,S,13:58,8,12.4,14:03,7.73,12.4,14:08,7.58,12.5,14:12,7.43,12.5,14:16,7.35,12.5,14:21,7.2,12.5,14:25,7.11,12.5,0.8715,5.1536,22,12,1.1245,1.1564,1.1289,2.7949,1.1251,2.5453,NA,0.13853952,1,S
4,S,1,1BSF11,40,S,14:55,7.42,12.5,15:01,7.25,12.5,15:07,7.04,12.5,15:12,6.89,12.5,15:18,6.7,12.5,15:23,6.53,12.5,15:30,6.34,12.5,0.9128,4.7768,22,10,1.4193,1.5558,1.4251,3.2621,1.4217,3.0206,NA,0.582572669,1,S
4,S,2,1BSF12,40,S,14:56,7.37,12.5,15:01,7.16,12.5,15:08,6.96,12.5,15:12,6.78,12.5,15:19,6.57,12.5,15:23,6.42,12.5,15:31,6.18,12.5,0.9848,5.6631,23,10,1.3952,1.3315,1.4265,3.1736,1.4006,2.8758,NA,0.148898483,1,S
